This is the initial evaluation order of activities computed by FET. If the generation gets stuck after a certain number of activities, please check the activity corresponding to this number+1. You might find errors in your input.

The initial order of activities (id-s):

No: 1, Id: 67, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: EA/MN-232
No: 28, Id: 106, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: FI-231
No: 29, Id: 114, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: TI-236
No: 30, Id: 115, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: TI-237
No: 31, Id: 119, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: FI-231
No: 32, Id: 16, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: IBM-232
No: 33, Id: 21, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: SI-233
No: 34, Id: 22, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: SI-234
No: 35, Id: 28, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: TI-236
No: 36, Id: 29, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: TI-237
No: 37, Id: 33, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: FI-231
No: 38, Id: 198, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: EA/MN-232
No: 39, Id: 205, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: TI-238
No: 40, Id: 206, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: TI-239
No: 41, Id: 207, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: TI-2310
No: 42, Id: 68, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: IBM-231
No: 43, Id: 70, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: MN-231
No: 44, Id: 71, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: RM-231
No: 45, Id: 72, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: SI-231
No: 46, Id: 73, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: SI-232
No: 47, Id: 76, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: TI-231
No: 48, Id: 77, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: TI-232
No: 49, Id: 78, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: TI-233
No: 50, Id: 79, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: TI-234
No: 51, Id: 80, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: TI-235
No: 52, Id: 88, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: IBM-231
No: 53, Id: 90, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: MN-231
No: 54, Id: 91, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: RM-231
No: 55, Id: 92, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: SI-231
No: 56, Id: 93, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: SI-232
No: 57, Id: 96, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: TI-231
No: 58, Id: 97, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: TI-232
No: 59, Id: 98, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: TI-233
No: 60, Id: 99, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: TI-234
No: 61, Id: 100, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: TI-235
No: 62, Id: 108, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: AI-232
No: 63, Id: 111, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: CR-233
No: 64, Id: 2, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: AI-232
No: 65, Id: 5, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: CR-233
No: 66, Id: 15, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: IBM-231
No: 67, Id: 17, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: MN-231
No: 68, Id: 18, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: RM-231
No: 69, Id: 19, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: SI-231
No: 70, Id: 20, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: SI-232
No: 71, Id: 23, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: TI-231
No: 72, Id: 24, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: TI-232
No: 73, Id: 25, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: TI-233
No: 74, Id: 26, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: TI-234
No: 75, Id: 27, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: TI-235
No: 76, Id: 202, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: IBM-232
No: 77, Id: 203, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: SI-233
No: 78, Id: 204, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: SI-234
No: 79, Id: 107, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: AI-231
No: 80, Id: 109, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: CR-231
No: 81, Id: 110, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: CR-232
No: 82, Id: 112, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: EA-231
No: 83, Id: 1, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: AI-231
No: 84, Id: 3, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: CR-231
No: 85, Id: 4, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: CR-232
No: 86, Id: 6, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: EA-231
No: 87, Id: 196, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: AI-232
No: 88, Id: 197, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: CR-233
No: 89, Id: 40, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: EA/MN-232
No: 90, Id: 63, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: TI-238
No: 91, Id: 64, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: TI-239
No: 92, Id: 65, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: TI-2310
No: 93, Id: 214, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: EA/MN-232
No: 94, Id: 237, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: TI-238
No: 95, Id: 238, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: TI-239
No: 96, Id: 239, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: TI-2310
No: 97, Id: 247, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: EA/MN-232
No: 98, Id: 270, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: TI-238
No: 99, Id: 271, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: TI-239
No: 100, Id: 272, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: TI-2310
No: 101, Id: 49, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: IBM-232
No: 102, Id: 54, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: SI-233
No: 103, Id: 55, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: SI-234
No: 104, Id: 61, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: TI-236
No: 105, Id: 62, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: TI-237
No: 106, Id: 66, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: FI-231
No: 107, Id: 223, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: IBM-232
No: 108, Id: 228, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: SI-233
No: 109, Id: 229, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: SI-234
No: 110, Id: 235, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: TI-236
No: 111, Id: 236, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: TI-237
No: 112, Id: 240, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: FI-231
No: 113, Id: 256, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: IBM-232
No: 114, Id: 261, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: SI-233
No: 115, Id: 262, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: SI-234
No: 116, Id: 268, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: TI-236
No: 117, Id: 269, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: TI-237
No: 118, Id: 273, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: FI-231
No: 119, Id: 11, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: IA-234
No: 120, Id: 12, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: IA-235
No: 121, Id: 14, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: SD-232
No: 122, Id: 35, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: AI-232
No: 123, Id: 38, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: CR-233
No: 124, Id: 48, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: IBM-231
No: 125, Id: 50, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: MN-231
No: 126, Id: 51, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: RM-231
No: 127, Id: 52, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: SI-231
No: 128, Id: 53, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: SI-232
No: 129, Id: 56, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: TI-231
No: 130, Id: 57, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: TI-232
No: 131, Id: 58, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: TI-233
No: 132, Id: 59, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: TI-234
No: 133, Id: 60, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: TI-235
No: 134, Id: 209, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: AI-232
No: 135, Id: 212, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: CR-233
No: 136, Id: 222, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: IBM-231
No: 137, Id: 224, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: MN-231
No: 138, Id: 225, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: RM-231
No: 139, Id: 226, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: SI-231
No: 140, Id: 227, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: SI-232
No: 141, Id: 230, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: TI-231
No: 142, Id: 231, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: TI-232
No: 143, Id: 232, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: TI-233
No: 144, Id: 233, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: TI-234
No: 145, Id: 234, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: TI-235
No: 146, Id: 242, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: AI-232
No: 147, Id: 245, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: CR-233
No: 148, Id: 255, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: IBM-231
No: 149, Id: 257, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: MN-231
No: 150, Id: 258, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: RM-231
No: 151, Id: 259, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: SI-231
No: 152, Id: 260, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: SI-232
No: 153, Id: 263, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: TI-231
No: 154, Id: 264, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: TI-232
No: 155, Id: 265, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: TI-233
No: 156, Id: 266, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: TI-234
No: 157, Id: 267, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: TI-235
No: 158, Id: 8, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: IA-231
No: 159, Id: 9, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: IA-232
No: 160, Id: 10, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: IA-233
No: 161, Id: 13, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: SD-231
No: 162, Id: 126, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: EA/MN-232
No: 163, Id: 142, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: TI-238
No: 164, Id: 143, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: TI-239
No: 165, Id: 144, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: TI-2310
No: 166, Id: 199, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: IA-234
No: 167, Id: 200, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: IA-235
No: 168, Id: 201, Duration: 1, Teachers: Denver Arellano, Subject: L. Română, Activity tags: Lectures, Students: SD-232
No: 169, Id: 34, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: AI-231
No: 170, Id: 36, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: CR-231
No: 171, Id: 37, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: CR-232
No: 172, Id: 39, Duration: 1, Teachers: Karlas Nasar, Subject: ALGA, Activity tags: Lectures, Students: EA-231
No: 173, Id: 152, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: EA/MN-232
No: 174, Id: 168, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: TI-238
No: 175, Id: 169, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: TI-239
No: 176, Id: 170, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: TI-2310
No: 177, Id: 208, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: AI-231
No: 178, Id: 210, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: CR-231
No: 179, Id: 211, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: CR-232
No: 180, Id: 213, Duration: 1, Teachers: Haley Hodges, Subject: AM1, Activity tags: Lab, Students: EA-231
No: 181, Id: 241, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: AI-231
No: 182, Id: 243, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: CR-231
No: 183, Id: 244, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: CR-232
No: 184, Id: 246, Duration: 1, Teachers: Elsie Estes, Subject: ALGA, Activity tags: Lab, Students: EA-231
No: 185, Id: 128, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: IBM-232
No: 186, Id: 133, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: SI-233
No: 187, Id: 134, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: SI-234
No: 188, Id: 140, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: TI-236
No: 189, Id: 141, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: TI-237
No: 190, Id: 145, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: FI-231
No: 191, Id: 172, Duration: 1, Teachers: Tommy Grant, Subject: ALGA (FAF), Activity tags: Lectures, Students: FAF-231
No: 192, Id: 173, Duration: 1, Teachers: Tommy Grant, Subject: ALGA (FAF), Activity tags: Lectures, Students: FAF-232
No: 193, Id: 174, Duration: 1, Teachers: Tommy Grant, Subject: ALGA (FAF), Activity tags: Lectures, Students: FAF-233
No: 194, Id: 175, Duration: 1, Teachers: Alaina Griffin, Subject: PCAIT (FAF), Activity tags: Lectures, Students: FAF-231
No: 195, Id: 176, Duration: 1, Teachers: Alaina Griffin, Subject: PCAIT (FAF), Activity tags: Lectures, Students: FAF-232
No: 196, Id: 177, Duration: 1, Teachers: Alaina Griffin, Subject: PCAIT (FAF), Activity tags: Lectures, Students: FAF-233
No: 197, Id: 187, Duration: 1, Teachers: Ayleen Lambert, Subject: PSA (FAF), Activity tags: Lectures, Students: FAF-231
No: 198, Id: 188, Duration: 1, Teachers: Ayleen Lambert, Subject: PSA (FAF), Activity tags: Lectures, Students: FAF-232
No: 199, Id: 189, Duration: 1, Teachers: Ayleen Lambert, Subject: PSA (FAF), Activity tags: Lectures, Students: FAF-233
No: 200, Id: 190, Duration: 1, Teachers: Mario Espinoza, Subject: PC (FAF), Activity tags: Lectures, Students: FAF-231
No: 201, Id: 191, Duration: 1, Teachers: Mario Espinoza, Subject: PC (FAF), Activity tags: Lectures, Students: FAF-232
No: 202, Id: 192, Duration: 1, Teachers: Mario Espinoza, Subject: PC (FAF), Activity tags: Lectures, Students: FAF-233
No: 203, Id: 333, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: EA/MN-232
No: 204, Id: 349, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: TI-238
No: 205, Id: 350, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: TI-239
No: 206, Id: 351, Duration: 1, Teachers: Victor Harmon, Subject: Grafica inginerească, Activity tags: Lab, Students: TI-2310
No: 207, Id: 359, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: EA/MN-232
No: 208, Id: 375, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: TI-238
No: 209, Id: 376, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: TI-239
No: 210, Id: 377, Duration: 1, Teachers: Maren Sparks, Subject: Fizica, Activity tags: Lab, Students: TI-2310
No: 211, Id: 154, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: IBM-232
No: 212, Id: 159, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: SI-233
No: 213, Id: 160, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: SI-234
No: 214, Id: 166, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: TI-236
No: 215, Id: 167, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: TI-237
No: 216, Id: 171, Duration: 1, Teachers: Ian Gibbs, Subject: Fizica, Activity tags: Lectures, Students: FI-231
No: 217, Id: 121, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: AI-232
No: 218, Id: 124, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: CR-233
No: 219, Id: 127, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: IBM-231
No: 220, Id: 129, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: MN-231
No: 221, Id: 130, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: RM-231
No: 222, Id: 131, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: SI-231
No: 223, Id: 132, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: SI-232
No: 224, Id: 135, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: TI-231
No: 225, Id: 136, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: TI-232
No: 226, Id: 137, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: TI-233
No: 227, Id: 138, Duration: 1, Teachers: Nathalie Chavez, Subject: Grafica inginerească, Activity tags: Lectures, Students: TI-234
